CIS #,Profile,Recommendation,Status,Policy,Setting definition ID,Configured value,vs v4.0.0,Notes
2.30,Level 1,Ensure 'Days Until Aggressive Catchup Quick Scan' is set to '7' days (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Defender Antivirus - D - Additional Configuration - v1.0.0,device_vendor_msft_defender_configuration_daysuntilaggressivecatchupquickscan,Days Until Aggressive Catchup Quick Scan = 7,New,
2.31,Level 2,Ensure 'Enable Convert Warn To Block' is set to 'Warn verdicts are converted to block' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Defender Antivirus - D - Additional Configuration - v1.0.0,device_vendor_msft_defender_configuration_enableconvertwarntoblock,Enable Convert Warn To Block = Warn verdicts are converted to block,New,
2.32,Level 1,Ensure 'Enable Dynamic Signature Dropped Event Reporting' is set to 'Dynamic Security intelligence update events will be reported.' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Defender Antivirus - D - Additional Configuration - v1.0.0,device_vendor_msft_defender_configuration_reporting_enabledynamicsignaturedroppedeventreporting,Enable Dynamic Signature Dropped Event Reporting = Dynamic Security intelligence update events will be reported.,New,
2.33,Level 1,Ensure 'Enable File Hash Computation' is set to 'Enable' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Defender Antivirus - D - Additional Configuration - v1.0.0,device_vendor_msft_defender_configuration_enablefilehashcomputation,Enable File Hash Computation = Enable,New,
2.34,Level 1,Ensure 'Enable Network Protection' is set to 'Enabled (block mode)' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_enablenetworkprotection,Enable Network Protection = Enabled (block mode),Changed,
2.35,Level 1,Ensure 'Hide Exclusions From Local Users' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Defender Antivirus - D - Additional Configuration - v1.0.0,device_vendor_msft_defender_configuration_hideexclusionsfromlocalusers,"Hide Exclusions From Local Users = If you enable this setting, local users will no longer be able to see the exclusion list in Windows Security App or via PowerShell.",New,
2.36,Level 1,Ensure 'Oobe Enable Rtp And Sig Update' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Defender Antivirus - D - Additional Configuration - v1.0.0,device_vendor_msft_defender_configuration_oobeenablertpandsigupdate,"Oobe Enable Rtp And Sig Update = If you enable this setting, real-time protection and Security Intelligence Updates are enabled during OOBE.",New,
2.37,Level 1,Ensure 'PUA Protection' is set to 'PUA Protection on' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_puaprotection,PUA Protection = PUA Protection on. Detected items are blocked. They will show in history along with other threats.,Changed,Moved out of the ES Security Experience policy: PUA Protection is not part of the Windows Security Experience template
2.38,Level 1,Ensure 'Quick Scan Include Exclusions' is set to '1' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Defender Antivirus - D - Additional Configuration - v1.0.0,device_vendor_msft_defender_configuration_quickscanincludeexclusions,"Quick Scan Include Exclusions = If you set this setting to 1, all files and directories that are excluded from real-time protection using contextual exclusions are scanned during a quick scan.",New,
2.39,Level 1,Ensure 'Real Time Scan Direction' is set to 'Monitor all files bi-directional' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_realtimescandirection,Real Time Scan Direction = Monitor all files (bi-directional).,Changed,
2.40,Level 2,Ensure 'Remote Encryption Protection Aggressiveness' is set to 'Medium' or higher (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Defender Antivirus - D - Additional Configuration - v1.0.0,device_vendor_msft_defender_configuration_behavioralnetworkblocks_remoteencryptionprotection_remoteencryptionprotectionaggressiveness,Remote Encryption Protection Aggressiveness = Medium: Use cloud aggregation and block when confidence level is above 99%,New,
2.41,Level 1,Ensure 'Remote Encryption Protection Configured State' is set to 'Audit: Generate EDR detections without blocking' or higher (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Defender Antivirus - D - Additional Configuration - v1.0.0,device_vendor_msft_defender_configuration_behavioralnetworkblocks_remoteencryptionprotection_remoteencryptionprotectionconfiguredstate,Remote Encryption Protection Configured State = Audit: Generate EDR detections without blocking,New,CIS: Audit or Block — Audit chosen; review for Block after UAT
2.42,Level 1,Ensure 'Scan Parameter' is set to 'Quick Scan' or higher (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_scanparameter,Scan Parameter = Quick scan,New,"CIS: Quick Scan or Full Scan — Quick chosen (v3 behaviour, lower user impact)"
2.43,Level 1,Ensure 'Schedule Quick Scan Time' is set to '1' or higher (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_schedulequickscantime,Schedule Quick Scan Time = 660,Changed,CIS: 1 or higher — v3 value retained (11:00)
2.44,Level 1,Ensure 'Schedule Scan Time' is set to '1' or higher (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_schedulescantime,Schedule Scan Time = 120,New,CIS: 1 or higher — 02:00 chosen
2.45,Level 1,"Ensure 'Schedule Scan Day' is set to 'Enabled: 0' or higher, but not '8' (Automated)",In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_schedulescanday,Schedule Scan Day = Every day,New,CIS: 0 or higher but not 8 (8 = no scheduled scan)
2.46,Level 1,"Ensure 'Signature Update Interval' is set to '4' or fewer, but not '0' (Automated)",In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_signatureupdateinterval,Signature Update Interval = 1,Changed,CIS: 4 or fewer but not 0 — v3 value retained (hourly)
2.47,Level 1,Ensure 'Submit Samples Consent' is set to 'Enabled: Send safe samples automatically' or higher (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_submitsamplesconsent,Submit Samples Consent = Send safe samples automatically.,Changed,
2.48,Level 1,Ensure 'Remediation action for Moderate severity threats' is set to 'Quarantine or Remove' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_threatseveritydefaultaction_moderateseveritythreats,Remediation action for Moderate severity threats = Quarantine. Moves files to quarantine.,New,CIS: Quarantine or Remove — Quarantine chosen (recoverable)
2.49,Level 1,Ensure 'Remediation action for High severity threats' is set to 'Quarantine or Remove' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_threatseveritydefaultaction_highseveritythreats,Remediation action for High severity threats = Quarantine. Moves files to quarantine.,New,CIS: Quarantine or Remove — Quarantine chosen (recoverable)
2.50,Level 1,Ensure 'Remediation action for Severe threats' is set to 'Quarantine or Remove' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_threatseveritydefaultaction_severethreats,Remediation action for Severe threats = Quarantine. Moves files to quarantine.,New,CIS: Quarantine or Remove — Quarantine chosen (recoverable)
